QuestionID,Question,Answer,Document
Q180,what it is a pilot study,"A pilot experiment, also called a pilot study, is a small scale preliminary study conducted in order to evaluate feasibility, time, cost, adverse events, and effect size (statistical variability) in an attempt to predict an appropriate sample size and improve upon the study design prior to performance of a full-scale research project.",Pilot experiment
Q181,how many humps on a camel,"The two surviving species of camel are the dromedary , or one-humped camel, which is native to the Middle East and the Horn of Africa ; and the Bactrian , or two-humped camel, which inhabits Central Asia .",Camel
Q182,what can be powered by wind,"Wind power is the conversion of wind energy into a useful form of energy, such as using wind turbines to make electrical power , windmills for mechanical power, wind pumps for water pumping or drainage , or sails to propel ships.",Wind power
Q183,how many nature oceans are on earth,"In the context of Earth , it refers to one or all of the major divisions of the planet's World Ocean – they are, in descending order of area, the Pacific , Atlantic , Indian , Southern (Antarctic) , and Arctic Oceans.",Ocean
Q184,what county is jacksonville florida in,"It is the county seat of Duval County , with which the city government consolidated in 1968.","Jacksonville, Florida"
Q185,what chili wants wiki,"What Chilli Wants is an American reality series on VH1 starring Chilli , one-third of the Grammy Award -winning R&B trio TLC .",What Chilli Wants
Q186,what does a liquid oxygen plant look like,The blue color of liquid oxygen in a dewar flask,Liquid oxygen
Q187,what division is boise state football,The Boise State Broncos football program represents Boise State University in college football and compete in the Football Bowl Subdivision (FBS) of Division I as a member of the Mountain West Conference .,Boise State Broncos football
Q188,"What does the term ""mens rea"" mean","Mens rea is Latin for ""guilty mind"".",Mens rea
Q189,what do UA's detect,"A drug test is a technical analysis of a biological specimen – for example urine, hair, blood, sweat, or oral fluid / saliva – to determine the presence or absence of specified parent drugs or their metabolites .",Drug test
Q190,how much caffeine is in a shot of espresso,"Espresso has more caffeine per unit volume than most beverages, but the usual serving size is smaller—a typical 60 mL (2 US fluid ounce ) of espresso has 80 to 150 mg of caffeine, little less than the 95 to 200 mg of a standard 240 mL (8 US fluid ounces ) cup of drip-brewed coffee.",Espresso
Q191,What does Human sperm consist of?,"In humans, seminal fluid contains several components besides spermatozoa: proteolytic and other enzymes as well as fructose are elements of seminal fluid which promote the survival of spermatozoa and provide a medium through which they can move or ""swim"".",Semen
Q192,how did the penguins acquire sidney crosby,Crosby was drafted first overall by the Penguins out of the Quebec Major Junior Hockey League (QMJHL).,Sidney Crosby
Q193,what does add my two cents mean,"""My two cents"" (2¢) and its longer version ""put my two cents in"" is an United States (US) idiomatic expression, taken from the original English idiom expression: to put in ""my two pennies worth"" or ""my tuppence worth.""",My two cents
Q194,how much total wealth in USA,"Including human capital such as skills, the United Nations estimated the total wealth of the United States in 2008 to be $118 trillion.",Wealth in the United States
Q195,what does a plus-minus sign mean,"to indicate the precision of an approximation , or",Plus-minus sign
Q196,what does a plus-minus sign mean,to indicate a value that can be of either sign.,Plus-minus sign
Q197,how was the moon formed,"The Moon is thought to have formed nearly 4.5 billion years ago, not long after the Earth.",Moon
Q198,how was the moon formed,"Although there have been several hypotheses for its origin in the past, the current most widely accepted explanation is that the Moon formed from the debris left over after a giant impact between Earth and a Mars -sized body.",Moon
Q199,what did ronald reagan do as president,"As president, Reagan implemented sweeping new political and economic initiatives.",Ronald Reagan
Q200,what does judgment as a matter of law mean,"Judgment as a matter of law (JMOL) is a motion made by a party, during trial, claiming the opposing party has insufficient evidence to reasonably support its case.",Judgment as a matter of law
Q201,how many presidents have been assassinated,"Four sitting presidents have been killed: Abraham Lincoln (the 16th President), James A. Garfield (the 20th President), William McKinley (the 25th President) and John F. Kennedy (the 35th President).",List of United States presidential assassination attempts and plots
Q202,what does oklahoma produce,"A major producer of natural gas , oil , and agriculture, Oklahoma relies on an economic base of aviation, energy, telecommunications, and biotechnology .",Oklahoma
Q203,how many redwall books are there,There have been twenty-two novels and two picture books published.,Redwall
Q204,what date did the american civil war start,"Hostilities began on April 12, 1861, when Confederate forces fired upon Fort Sumter , a key fort held by Union troops in South Carolina.",American Civil War
Q205,what does bruce jenner do,"William Bruce Jenner (born October 28, 1949) is a former U.S. track and field athlete , motivational speaker , socialite , television personality and businessman .",Bruce Jenner
Q206,what does alkali do to liquids?,Some authors also define an alkali as a base that dissolves in water .,Alkali
Q207,what area code is 217,Area code 217 is the North American telephone area code for much of western and central Illinois .,Area code 217
Q208,what area code is 217,"The 217 area includes Illinois' capital , Springfield , plus Champaign , Urbana , Decatur , Danville , Quincy , and Rantoul .",Area code 217
Q209,how jameson irish whiskey is made,"Jameson is similar in its adherence to the single distillery principle to the single malt tradition, but Jameson blends column still spirit with Single pot still whiskey , a combination of malted barley with unmalted or ""green"" barley distilled in a pot still.",Jameson Irish Whiskey
